subject,Scene,NarrativeVerifiableDetails_JD,LowConfidenceVerifiableDetails_JD,PerceptualVerifiableDetails_JD,Repetitions_JD,Transitions_JD,OtherDetails_JD,CharacterSwitch_JD,ContextSwitch_JD,Comments_JD,NarrativeVerifibleDetails_EM,LowConfidenceVerifiableDetails_EM,PerceptualVerifiableDetails_EM,Repetitions_EM,Transitions_EM,OtherDetails_EM,CharacterSwitch_EM,ContextSwitch_EM,Comments_EM
204,H,7,0,0,,,,,,,5,0,0,,,,,,
204,I,0,0,0,,,,,,,2,0,2,,,,,,
204,J,0,0,0,,,,,,,0,0,0,,,,,,
204,K,6,0,1,,,,,,,6,0,0,,,,,,
204,L,0,0,0,,,,,,,0,0,0,,,,,,
204,Either,0,0,0,2,2,42,0,0,0,5,0,0,0,2,45,0,0,
204,Integrated,8,0,0,,,,,,,4,0,3,,,,,,
205,A,6,1,2,,,,,,,7,0,0,,,,,,
205,B,19,0,0,,,,,,,22,0,0,,,,,,
205,C,17,0,0,,,,,,,10,0,3,,,,,,
205,D,22,0,2,,,,,,,17,0,5,,,,,,
205,E,33,1,8,,,,,,,31,1,10,,,,,,
205,F,0,0,0,,,,,,,0,0,0,,,,,,
205,G,41,0,0,,,,,,,39,1,0,,,,,,
205,H,9,1,0,,,,,,,9,1,0,,,,,,
205,I,0,0,0,,,,,,,0,0,0,,,,,,
205,J,17,0,0,,,,,,,13,0,1,,,,,,
205,K,17,0,0,,,,,,,16,0,0,,,,,,
205,L,0,0,0,,,,,,,0,0,0,,,,,,
205,Either,0,0,1,12,6,76,4,5,character switch with Jeff,3,1,0,6,10,90,11,4,
205,Integrated,2,0,0,,,,,,,4,0,0,,,,,,
206,A,13,0,2,,,,,,,10,0,2,,,,,,
206,B,14,0,0,,,,,,,12,0,0,,,,,,
206,C,0,0,0,,,,,,,0,0,0,,,,,,
206,D,10,0,0,,,,,,,14,0,2,,,,,,
206,E,9,0,0,,,,,,,4,0,1,,,,,,
206,F,1,0,0,,,,,,,0,0,0,,,,,,
206,G,17,0,0,,,,,,,15,0,0,,,,,,
206,H,2,0,0,,,,,,,4,0,0,,,,,,
206,I,4,0,1,,,,,,,3,0,2,,,,,,
206,J,12,2,0,,,,,,,8,0,1,,,,,,
206,K,6,0,1,,,,,,,8,0,1,,,,,,
206,L,0,0,0,,,,,,,0,0,0,,,,,,
206,Either,1,0,0,16,6,24,0,0,0,5,1,0,5,6,25,0,0,
206,Integrated,6,0,0,,,,,,,5,0,0,,,,,,
207,A,16,0,2,,,,,,,14,0,2,,,,,,
207,B,15,0,2,,,,,,,10,0,1,,,,,,
207,C,8,0,0,,,,,,,3,0,0,,,,,,
207,D,41,0,2,,,,,,,24,0,3,,,,,,
207,E,39,0,1,,,,,,,26,0,1,,,,,,
207,F,7,0,0,,,,,,,5,0,0,,,,,,
207,G,30,0,2,,,,,,,24,0,3,,,,,,
207,H,7,0,0,,,,,,,3,0,0,,,,,,
207,I,4,0,0,,,,,,,4,0,0,,,,,,
207,J,20,0,2,,,,,,,11,0,3,,,,,,
207,K,4,0,2,,,,,,,5,0,1,,,,,,
207,L,5,2,0,,,,,,,3,3,2,,,,,,
207,Either,0,0,0,25,5,39,4,2,character switch with Julie,1,0,0,23,7,47,2,0,character switch with Jeff
207,Integrated,2,0,0,,,,,,,18,0,0,,,,,,
208,A,16,0,2,,,,,,,11,0,2,,,,,,
208,B,25,0,1,,,,,,,15,0,1,,,,,,
208,C,10,0,2,,,,,,,7,0,0,,,,,,
208,D,21,0,1,,,,,,,14,0,1,,,,,,
208,E,33,3,0,,,,,,,16,2,2,,,,,,
208,F,7,0,0,,,,,,,4,0,1,,,,,,
208,G,28,0,1,,,,,,,20,0,2,,,,,,
